問題本文,選択肢1,選択肢2,選択肢3,選択肢4,回答の選択肢番号,回答の解説,難易度
赤犬が食べた悪魔の実は何ですか？,マグマグの実,ゴムゴムの実,メラメラの実,バラバラの実,1,"赤犬はマグマグの実を食べました。",1
ローが食べた悪魔の実は何ですか？,オペオペの実,ゴムゴムの実,メラメラの実,バラバラの実,1,"ローはオペオペの実を食べました。",1
ハンコックが食べた悪魔の実は何ですか？,メロメロの実,ゴムゴムの実,メラメラの実,バラバラの実,1,"ハンコックはメロメロの実を食べました。",1
モリアが食べた悪魔の実は何ですか？,カゲカゲの実,ゴムゴムの実,メラメラの実,バラバラの実,1,"モリアはカゲカゲの実を食べました。",1
くまが食べた悪魔の実は何ですか？,ニキュニキュの実,ゴムゴムの実,メラメラの実,バラバラの実,1,"くまはニキュニキュの実を食べました。",1
ドフラミンゴが食べた悪魔の実は何ですか？,イトイトの実,ゴムゴムの実,メラメラの実,バラバラの実,1,"ドフラミンゴはイトイトの実を食べました。",1
エースのスペード海賊団の船の名前は何ですか？,ピースメイン号,ストライカー,モビーディック号,レッドフォース号,1,"エースのスペード海賊団の船はピースメイン号です。",3
エースの母親の名前は何ですか？,ポートガス・D・ルージュ,オルビア,ボニー,しらほし,1,"エースの母親はポートガス・D・ルージュです。",3
エースの父親の名前は何ですか？,ゴール・D・ロジャー,モンキー・D・ドラゴン,モンキー・D・ガープ,エドワード・ニューゲート,1,"エースの父親はゴール・D・ロジャーです。",2
シャンクスの左目の傷をつけたのは誰ですか？,黒ひげ,白ひげ,カイドウ,ビッグ・マム,1,"シャンクスの左目の傷は黒ひげにつけられました。",3
黒ひげが最初に登場した場所はどこですか？,ドラム王国,モックタウン,ウォーターセブン,マリンフォード,1,"黒ひげはモックタウンで初登場しました。",3
インペルダウンのレベル6に収監されていた人物は誰ですか？,エース,ルフィ,ゾロ,サンジ,1,"エースはインペルダウンのレベル6に収監されていました。",2
マリンフォードでルフィがエースを助けようとした理由は？,兄弟だから,友達だから,助けを求められたから,海賊王になるため,1,"ルフィはエースが実の兄であるため、助けようとしました。",1
コビーの最初の夢は何ですか？,海軍将校になること,海賊になること,魚人になること,世界一の大剣豪になること,1,"コビーの最初の夢は海軍将校になることでした。",2
ヘルメッポの父親の名前は何ですか？,モーガン,コビー,スモーカー,ヒナ,1,"ヘルメッポの父親はモーガン大佐です。",2
G-8支部を率いる海軍将校の名前は何ですか？,ジョナサン,スモーカー,ヒナ,ガープ,1,"G-8支部はジョナサンが率いていました。",4
バスターコールを発動できるのは誰ですか？,世界政府の権力者,海軍本部大将,七武海,四皇,1,"バスターコールを発動できるのは世界政府の権力者です。",3
歴史の本文（ポーネグリフ）を読めるのは誰ですか？,ニコ・ロビン,モンキー・D・ルフィ,ロロノア・ゾロ,サンジ,1,"ニコ・ロビンはポーネグリフを読める唯一の人物です。",1
ラフテルにたどり着くために必要なものは何ですか？,ロード・ポーネグリフ,世界地図,永遠の記録指針,悪魔の実,1,"ラフテルにたどり着くためには4つのロード・ポーネグリフが必要です。",3
海賊王ゴール・D・ロジャーの処刑された場所はどこですか？,ローグタウン,マリンフォード,インペルダウン,シャボンディ諸島,1,"ゴール・D・ロジャーはローグタウンで処刑されました。",2
ロジャーが残した言葉は何ですか？,"俺の財宝か？欲しけりゃくれてやる…探せ！",“仲間がいるさ！”,“自由になれ！”,“海は広いぞ！”,1,"ロジャーの残した言葉は「俺の財宝か？欲しけりゃくれてやる…探せ！」です。",1
悪魔の実を食べると何ができないようになりますか？,泳ぐこと,飛ぶこと,歩くこと,話すこと,1,"悪魔の実の能力者は泳げなくなります。",1
悪魔の実の能力はどのように継承されますか？,近くの果物に宿る,血縁者に継承される,特別な儀式が必要,食べると発現する,1,"悪魔の実の能力は、能力者が死ぬと近くの果物に宿ります。",3
覇気には何種類ありますか？,3種類,2種類,4種類,5種類,1,"覇気には武装色、見聞色、覇王色の3種類があります。",1
武装色の覇気の効果は何ですか？,攻撃力を上げる,未来を予知する,相手を威圧する,傷を癒す,1,"武装色の覇気は攻撃力を上げ、悪魔の実の能力者の実体を捉えることができます。",1
見聞色の覇気の効果は何ですか？,未来を予知する,攻撃力を上げる,相手を威圧する,傷を癒す,1,"見聞色の覇気は相手の気配や感情を察知し、未来を予知することもできます。",1
覇王色の覇気の効果は何ですか？,相手を威圧する,攻撃力を上げる,未来を予知する,傷を癒す,1,"覇王色の覇気は選ばれた者にしか使えず、相手を威圧したり気絶させたりできます。",1
ルフィが覇王色の覇気を初めて使ったのはいつですか？,インペルダウン,マリンフォード,シャボンディ諸島,エニエス・ロビー,1,"ルフィはインペルダウンで覇王色の覇気を初めて使いました。",3
ゾロが覇王色の覇気を覚醒させたのはいつですか？,ワノ国,ドレスローザ,スリラーバーク,魚人島,1,"ゾロはワノ国で覇王色の覇気を覚醒させました。",4
サンジが覇気を使えるようになったのはいつですか？,2年間の修行後,グランドライン突入後,アラバスタ編後,頂上戦争後,1,"サンジは2年間の修行後に覇気を習得しました。",2
ワノ国でルフィが習得した新しい覇気の技術は何ですか？,流桜,武装色強化,見聞色強化,覇王色強化,1,"ワノ国でルフィは流桜を習得しました。",3
ルフィのギア4の形態の一つは何ですか？,バウンドマン,タンクマン,スネイクマン,全て,4,"ルフィのギア4にはバウンドマン、タンクマン、スネイクマンなどの形態があります。",3
ルフィのギア5の形態の名前は何ですか？,ニカ,サンゴ,ヨミ,ゼウス,1,"ルフィのギア5は「ニカ」と呼ばれています。",4
ゾロの三刀流の技の一つは何ですか？,鬼斬り,獅子歌歌,煩悩鳳,全て,4,"鬼斬り、獅子歌歌、煩悩鳳など、ゾロの三刀流には多くの技があります。",1
サンジの足技の一つは何ですか？,悪魔風脚,画竜点睛,ディアブルジャンブ,メテオストライク,1,"サンジの足技の一つは悪魔風脚（ディアブルジャンブ）です。",1
ナミの天候棒の技の一つは何ですか？,サンダーボルトテンポ,サイクロンテンポ,クラウドテンポ,レインボーテンポ,1,"ナミの天候棒にはサンダーボルトテンポなどがあります。",1
ウソップの必殺技の一つは何ですか？,火の鳥星,緑星,必殺火の鳥星,インパクト,1,"ウソップの必殺技には火の鳥星などがあります。",1
チョッパーの変形の一つは何ですか？,ランブルボール,人獣型,人間型,動物型,1,"チョッパーはランブルボールを使って変形します。",1
ロビンの技の一つは何ですか？,千紫万紅・巨大樹,百花繚乱・大樹,万花繚乱・巨木,十花繚乱・小木,1,"ロビンの技には千紫万紅・巨大樹などがあります。",2
フランキーの必殺技の一つは何ですか？,風来砲,フランキーパンチ,フランキーラディカルビーム,スーパーフランク,1,"フランキーの必殺技には風来砲などがあります。",1
ブルックの必殺技の一つは何ですか？,鼻唄三丁・矢筈斬り,魂の叫び,ソウルソリッド,氷の世界,1,"ブルックの必殺技には鼻唄三丁・矢筈斬りなどがあります。",1
ジンベエの魚人空手の技の一つは何ですか？,魚人空手・瓦正拳,海流一本背負い,槍波,梅花皮,1,"ジンベエの魚人空手には瓦正拳などがあります。",1
アーロンパーク編でルフィが倒した敵の名前は何ですか？,アーロン,バギー,クロコダイル,エネル,1,"アーロンパーク編でルフィはアーロンを倒しました。",1
ドラム王国編でルフィが倒した敵の名前は何ですか？,ワポル,クロコダイル,エネル,アーロン,1,"ドラム王国編でルフィはワポルを倒しました。",2
エニエス・ロビー編でルフィが倒した敵の名前は何ですか？,ロブ・ルッチ,クロコダイル,エネル,ワポル,1,"エニエス・ロビー編でルフィはロブ・ルッチを倒しました。",2
頂上戦争でエースが命を落とした理由は？,赤犬の攻撃,黒ひげの攻撃,白ひげの攻撃,シャンクスの攻撃,1,"エースは赤犬のマグマグの実の攻撃で命を落としました。",2
ローグタウンでルフィが助けられたのは誰のおかげですか？,ドラゴン,シャンクス,ゾロ,サンジ,1,"ローグタウンでルフィは父親のドラゴンに助けられました。",3
サボが革命軍に入ったきっかけは何ですか？,エースの死,ルフィとの再会,ドラゴンの誘い,天竜人への憎しみ,1,"サボは天竜人への憎しみから革命軍に入りました。",3
エースが白ひげの傘下に入った理由は何ですか？,白ひげに憧れていたから,ルフィを守るため,海賊王になるため,自由を求めて,1,"エースは白ひげの家族になることを選びました。",2
麦わらの一味が最初に遭遇した七武海は誰ですか？,クロコダイル,ジンベエ,モリア,ドフラミンゴ,1,"麦わらの一味が最初に遭遇した七武海はクロコダイルです。",2
七武海の一人であるくまの正体は何ですか？,サイボーグ,人間,魚人,巨人,1,"くまは政府の実験でサイボーグに改造されました。",3
七武海の一人であるドフラミンゴの出身地はどこですか？,聖地マリージョア,ドレスローザ,インペルダウン,パンクハザード,1,"ドフラミンゴは元天竜人です。",4
七武海の一人であるミホークの異名は何ですか？,鷹の目,剣豪,世界最強の剣士,黒刀,1,"ミホークは「鷹の目のミホーク」と呼ばれています。",1
七武海の一人であるハンコックの異名は何ですか？,海賊女帝,アマゾン・リリーの女王,メロメロの女帝,蛇姫,1,"ハンコックは「海賊女帝」と呼ばれています。",1
四皇の一人であるビッグ・マムの能力は何ですか？,魂を操る,炎を操る,雷を操る,氷を操る,1,"ビッグ・マムはソウルソウル（魂魂）の実の能力者です。",3
四皇の一人であるカイドウの能力は何ですか？,人獣型,竜型,巨人型,魚人型,1,"カイドウはウオウオの実幻獣種モデル"青龍"の能力者です。",3
四皇の一人であるシャンクスの能力は何ですか？,不明,覇気,悪魔の実の能力,剣術,1,"シャンクスの能力は悪魔の実ではなく覇気と剣術です。",2
四皇の一人である黒ひげの能力は何ですか？,ヤミヤミの実とグラグラの実,ヤミヤミの実,グラグラの実,不明,1,"黒ひげはヤミヤミの実とグラグラの実の二つの能力を持っています。",2
海軍本部の三大将の総称は何ですか？,海軍の最高戦力,海軍の三大勢力,海軍の最高戦力,海軍の三強,1,"海軍本部三大将は「海軍の最高戦力」と呼ばれています。",1
世界会議（レヴェリー）が行われる場所はどこですか？,聖地マリージョア,グランドライン,新世界,偉大なる航路,1,"世界会議は聖地マリージョアで行われます。",2
イム様の正体は？,不明,世界政府の最高権力者,海軍本部元帥,革命軍総司令官,1,"イム様の正体は不明ですが、世界政府の最高権力者とされています。",5
空白の100年を研究しているのは誰ですか？,世界政府,考古学者,歴史学者,海軍本部,1,"空白の100年は世界政府が隠蔽しています。",4
ONE PIECEの世界に存在する歴史の本文の種類は何種類ですか？,3種類,2種類,4種類,5種類,1,"歴史の本文には歴史を伝える「歴史の本文」、その場所を示す「ロード・ポーネグリフ」、そこに刻まれた文字の真意が記された「歴史を紡ぐテキスト」の3種類があります。",4
ラフテルにたどり着くために必要なロード・ポーネグリフは何個ですか？,4個,3個,2個,5個,1,"ラフテルにたどり着くには4つのロード・ポーネグリフが必要です。",3
魚人島に住む人魚の女王の名前は何ですか？,オトヒメ,しらほし,ヴィヴィ,レベッカ,1,"魚人島の女王はオトヒメです。",3
魚人島で起こった事件で、ジンベエが阻止しようとしたのは誰ですか？,ホーディ・ジョーンズ,アーロン,ゼオ,ダルマ,1,"ジンベエはホーディ・ジョーンズの暴走を止めようとしました。",3
ドレスローザでドフラミンゴが仕掛けた「鳥カゴ」の能力は何ですか？,イトイトの実,バラバラの実,マネマネの実,スベスベの実,1,"ドフラミンゴのイトイトの実の能力による「鳥カゴ」です。",3
ホールケーキアイランドでルフィ達がサンジを取り戻すために共闘したのは誰ですか？,カポネ・ベッジ,ロー,キッド,ホーキンス,1,"ホールケーキアイランドでカポネ・ベッジと共闘しました。",4
ワノ国でルフィ達がカイドウを倒すために共闘した海賊団の船長は誰ですか？,ローとキッド,ローとベッジ,キッドとホーキンス,ローとホーキンス,1,"ローとキッドがルフィと共闘しました。",3
ワノ国での戦いでゾロが手に入れた刀の名前は何ですか？,閻魔,和道一文字,三代鬼徹,秋水,1,"ワノ国でゾロは閻魔を手に入れました。",3
ワノ国での戦いでサンジが使用したレイドスーツの名前は何ですか？,ステルスブラック,ジェットブラック,ナイトブラック,シャドウブラック,1,"サンジはステルスブラックのレイドスーツを使用しました。",3
ワノ国でルフィが覚醒した悪魔の実は何ですか？,ヒトヒトの実 幻獣種モデル"ニカ",ゴムゴムの実,メラメラの実,バラバラの実,1,"ルフィのゴムゴムの実は実はヒトヒトの実 幻獣種モデル"ニカ"でした。",4
麦わらの一味の船に付いているマークは何ですか？,麦わら帽子のドクロ,ゾロの刀,ナミのみかん,ウソップのパチンコ,1,"麦わらの一味のマークは麦わら帽子のドクロです。",1
ルフィの師匠の一人である冥王レイリーが住んでいる島はどこですか？,シャボンディ諸島,女ヶ島,マリンフォード,インペルダウン,1,"レイリーはシャボンディ諸島に住んでいます。",2
ゾロの師匠の名前は何ですか？,ミホーク,耕四郎,リューマ,シャンクス,1,"ゾロの師匠はミホークです。",2
サンジの師匠の名前は何ですか？,ゼフ,レイリー,イワンコフ,シリュウ,1,"サンジの師匠はゼフです。",2
ウソップの師匠は誰ですか？,ヘラクレス,ヤソップ,レイリー,ミホーク,1,"ウソップはヘラクレスに師事しました。",3
フランキーの師匠は誰ですか？,トムさん,アイスバーグ,コーザ,ロブ・ルッチ,1,"フランキーの師匠はトムさんです。",2
ブルックの音楽の師匠は誰ですか？,ルンバー海賊団,ソウルキング,ヨミヨミの実,デュバル,1,"ブルックはルンバー海賊団の音楽家でした。",3
ジンベエの魚人空手の師匠は誰ですか？,タイヨウの海賊団,フィッシャー・タイガー,アーロン,オトヒメ,1,"ジンベエはタイヨウの海賊団のメンバーでした。",3
スモーカーの階級は何ですか？,大佐,中将,少将,准将,1,"スモーカーは当初、大佐でした。",2
ヒナの悪魔の実は何ですか？,オリオリの実,ドクドクの実,バラバラの実,スベスベの実,1,"ヒナはオリオリの実の能力者です。",3
コビーが所属する海軍の部署はどこですか？,SWORD,CP9,CP0,G-1支部,1,"コビーはSWORDに所属しています。",4
G-5支部を率いる海軍将校の名前は何ですか？,ヴェルゴ,スモーカー,たしぎ,ヒナ,1,"G-5支部はヴェルゴが率いていました。",4
元七武海の一人であるジンベエが元々所属していた海賊団の名前は何ですか？,タイヨウの海賊団,太陽海賊団,タイヨウの海賊団,魚人海賊団,1,"ジンベエはタイヨウの海賊団の船長でした。",2
黒ひげ海賊団の船医の名前は何ですか？,ドクQ,ラフィット,バスコ・ショット,シリュウ,1,"黒ひげ海賊団の船医はドクQです。",3
黒ひげ海賊団の狙撃手の名前は何ですか？,ヴァン・オーガー,ラフィット,バスコ・ショット,シリュウ,1,"黒ひげ海賊団の狙撃手はヴァン・オーガーです。",3
黒ひげ海賊団の航海士の名前は何ですか？,ラフィット,ドクQ,バスコ・ショット,シリュウ,1,"黒ひげ海賊団の航海士はラフィットです。",4
黒ひげ海賊団の船大工の名前は何ですか？,バスコ・ショット,ドクQ,ラフィット,シリュウ,1,"黒ひげ海賊団のバスコ・ショットです。",4
黒ひげ海賊団の剣士の名前は何ですか？,シリュウ,ドクQ,ラフィット,バスコ・ショット,1,"黒ひげ海賊団のシリュウです。",3
赤髪海賊団の狙撃手の名前は何ですか？,ヤソップ,ベン・ベックマン,ラッキー・ルウ,ホンゴウ,1,"赤髪海賊団の狙撃手はヤソップです。",2
赤髪海賊団の副船長の名前は何ですか？,ベン・ベックマン,ヤソップ,ラッキー・ルウ,ホンゴウ,1,"赤髪海賊団の副船長はベン・ベックマンです。",2
赤髪海賊団の航海士の名前は何ですか？,ラッキー・ルウ,ヤソップ,ベン・ベックマン,ホンゴウ,1,"赤髪海賊団の幹部の一人です。",4
赤髪海賊団の医者の名前は何ですか？,ホンゴウ,ヤソップ,ベン・ベックマン,ラッキー・ルウ,1,"赤髪海賊団の医者はホンゴウです。",4
白ひげ海賊団の1番隊隊長の名前は何ですか？,マルコ,エース,ジョズ,ビスタ,1,"白ひげ海賊団1番隊隊長はマルコです。",2
白ひげ海賊団の2番隊隊長の名前は何ですか？,エース,マルコ,ジョズ,ビスタ,1,"白ひげ海賊団2番隊隊長はエースです。",2
白ひげ海賊団の3番隊隊長の名前は何ですか？,ジョズ,マルコ,エース,ビスタ,1,"白ひげ海賊団3番隊隊長はジョズです。",2
白ひげ海賊団の5番隊隊長の名前は何ですか？,ビスタ,マルコ,エース,ジョズ,1,"白ひげ海賊団5番隊隊長はビスタです。",3
白ひげ海賊団の船長エドワード・ニューゲートの異名は何ですか？,世界最強の男,海賊王,海の皇帝,世界の破壊者,1,"白ひげは「世界最強の男」と呼ばれています。",2
白ひげ海賊団の船長エドワード・ニューゲートの能力は何ですか？,グラグラの実,メラメラの実,ピカピカの実,ヒエヒエの実,1,"白ひげはグラグラの実の能力者です。",2
白ひげ海賊団のマルコの能力は何ですか？,トリトリの実 幻獣種モデル"フェニックス",ヒトヒトの実,イヌイヌの実,ネコネコの実,1,"マルコはトリトリの実 幻獣種モデル"フェニックス"の能力者です。",3
世界政府の諜報機関CP9のメンバーの一人、カクの悪魔の実は何ですか？,ウシウシの実 モデル"ジラフ",ネコネコの実 モデル"レオパルド",イヌイヌの実 モデル"ダックスフント",ゾウゾウの実,1,"カクはウシウシの実 モデル"ジラフ"の能力者です。",3
世界政府の諜報機関CP9のメンバーの一人、ジャブラの悪魔の実は何ですか？,イヌイヌの実 モデル"ウルフ",ウシウシの実 モデル"ジラフ",ネコネコの実 モデル"レオパルド",ゾウゾウの実,1,"ジャブラはイヌイヌの実 モデル"ウルフ"の能力者です。",3
世界政府の諜報機関CP9のメンバーの一人、ブルーノの悪魔の実は何ですか？,ドアドアの実,アワアワの実,カゲカゲの実,ヨミヨミの実,1,"ブルーノはドアドアの実の能力者です。",3
世界政府の諜報機関CP9のメンバーの一人、カリファの悪魔の実は何ですか？,アワアワの実,ドアドアの実,カゲカゲの実,ヨミヨミの実,1,"カリファはアワアワの実の能力者です。",3
世界政府の諜報機関CP9のメンバーの一人、フクロウの能力は何ですか？,不明,六式,悪魔の実の能力,体術,1,"フクロウの能力は不明です。",4
世界政府の諜報機関CP9のメンバーの一人、クマドリの能力は何ですか？,不明,六式,悪魔の実の能力,体術,1,"クマドリの能力は不明です。",4
世界政府の諜報機関CP0のメンバー、ロブ・ルッチが現在所属している組織はどこですか？,CP0,CP9,海軍,革命軍,1,"ロブ・ルッチは現在CP0に所属しています。",3
ドレスローザでルフィ達が戦ったドンキホーテファミリーの最高幹部の一人、ピーカの悪魔の実は何ですか？,イシイシの実,イトイトの実,バラバラの実,スベスベの実,1,"ピーカはイシイシの実の能力者です。",4
ドレスローザでルフィ達が戦ったドンキホーテファミリーの最高幹部の一人、ディアマンテの悪魔の実は何ですか？,ヒラヒラの実,イトイトの実,バラバラの実,スベスベの実,1,"ディアマンテはヒラヒラの実の能力者です。",4
ドレスローザでルフィ達が戦ったドンキホーテファミリーの最高幹部の一人、トレーボルの悪魔の実は何ですか？,ベタベタの実,イトイトの実,バラバラの実,スベスベの実,1,"トレーボルはベタベタの実の能力者です。",4
ドレスローザでルフィ達が戦ったドンキホーテファミリーの最高幹部の一人、シュガーの悪魔の実は何ですか？,ホビホビの実,イトイトの実,バラバラの実,スベスベの実,1,"シュガーはホビホビの実の能力者です。",3
ホールケーキアイランドでルフィ達が戦ったビッグ・マムの子供の一人、シャーロット・カタクリの悪魔の実は何ですか？,モチモチの実,ソウルソウル（魂魂）の実,メロメロの実,グルグル野実,1,"カタクリはモチモチの実の能力者です。",4
ホールケーキアイランドでルフィ達が戦ったビッグ・マムの子供の一人、シャーロット・スムージーの能力は何ですか？,絞る,溶かす,凍らせる,燃やす,1,"スムージーはあらゆるものを絞り出す能力者です。",4
ホールケーキアイランドでルフィ達が戦ったビッグ・マムの子供の一人、シャーロット・ダイフクの能力は何ですか？,ランプの魔神を呼び出す,炎を操る,雷を操る,氷を操る,1,"ダイフクはランプの魔神を呼び出す能力者です。",4
ホールケーキアイランドでルフィ達が戦ったビッグ・マムの子供の一人、シャーロット・オーブンの能力は何ですか？,熱を操る,炎を操る,雷を操る,氷を操る,1,"オーブンは熱を操る能力者です。",4
ホールケーキアイランドでルフィ達が戦ったビッグ・マムの子供の一人、シャーロット・プリンの悪魔の実は何ですか？,メモメモの実,ソウルソウル（魂魂）の実,メロメロの実,グルグル野実,1,"プリンはメモメモの実の能力者です。",4
ワノ国でルフィ達が戦ったカイドウの最高幹部、キングの種族は何ですか？,ルナーリア族,巨人族,魚人族,小人族,1,"キングはルナーリア族です。",5
ワノ国でルフィ達が戦ったカイドウの最高幹部、クイーンの悪魔の実は何ですか？,リュウリュウの実 モデル"ブラキオサウルス",リュウリュウの実 モデル"プテラノドン",リュウリュウの実 モデル"アロサウルス",ヘビヘビの実 モデル"アナコンダ",1,"クイーンはリュウリュウの実 モデル"ブラキオサウルス"の能力者です。",4
ワノ国でルフィ達が戦ったカイドウの最高幹部、ジャックの悪魔の実は何ですか？,ゾウゾウの実 幻獣種モデル"マンモス",リュウリュウの実 モデル"ブラキオサウルス",リュウリュウの実 モデル"プテラノドン",ヘビヘビの実 モデル"アナコンダ",1,"ジャックはゾウゾウの実 幻獣種モデル"マンモス"の能力者です。",4
世界政府の最高権力機関である五老星の役割は何ですか？,世界政府のトップ,海軍本部の指揮,革命軍の討伐,世界地図の作成,1,"五老星は世界政府の最高意思決定機関です。",4
革命軍のナンバー2は誰ですか？,サボ,モンキー・D・ドラゴン,エンポリオ・イワンコフ,バーソロミュー・くま,1,"革命軍のナンバー2はサボです。",3
革命軍の「奇跡の人」と呼ばれるのは誰ですか？,エンポリオ・イワンコフ,サボ,モンキー・D・ドラゴン,バーソロミュー・くま,1,"イワンコフは「奇跡の人」と呼ばれています。",3
革命軍の「暴君」と呼ばれるのは誰ですか？,バーソロミュー・くま,サボ,モンキー・D・ドラゴン,エンポリオ・イワンコフ,1,"くまは「暴君」と呼ばれていました。",3
世界政府の諜報機関CP0の最高戦力は誰ですか？,ロブ・ルッチ,カク,カリファ,ブルーノ,1,"CP0の最高戦力はロブ・ルッチです。",4
世界政府の闇の組織サイファーポールに属さない唯一の独立した諜報機関の名前は何ですか？,SWORD,CP9,CP0,G-1支部,1,"SWORDはサイファーポールに属さない海軍の独立部隊です。",5
ラフテルを発見したとされる人物は誰ですか？,ゴール・D・ロジャー,モンキー・D・ルフィ,エドワード・ニューゲート,シャンクス,1,"ラフテルはゴール・D・ロジャーが到達しました。",2
ロード・ポーネグリフの一つが現在どこにあるとされていますか？,ワノ国,ホールケーキアイランド,ゾウ,マリージョア,1,"ロード・ポーネグリフの一つはゾウにあります。",4
天竜人の住む場所はどこですか？,聖地マリージョア,グランドライン,新世界,偉大なる航路,1,"天竜人は聖地マリージョアに住んでいます。",2
魚人族の英雄であるフィッシャー・タイガーが率いた海賊団の名前は何ですか？,タイヨウの海賊団,太陽海賊団,フィッシャー海賊団,ジンベエ海賊団,1,"フィッシャー・タイガーはタイヨウの海賊団の船長でした。",3
ワノ国でゾロが一時的に預かっていた刀の名前は何ですか？,秋水,和道一文字,三代鬼徹,閻魔,1,"ワノ国でゾロはリューマの刀、秋水を一時的に預かりました。",3
ワノ国でルフィが覚醒した悪魔の実に宿る解放の戦士の名前は何ですか？,ニカ,ジョイボーイ,ルフィ,太陽の神,1,"ゴムゴムの実の真の姿は太陽の神ニカの能力です。",4
ゾロが幼少期に誓いを立てた友人の名前は何ですか？,くいな,たしぎ,ひより,しのぶ,1,"ゾロはくいなとの約束を果たすため、世界一の剣豪を目指しています。",2
サンジが幼少期に育った場所はどこですか？,バラティエ,ジェルマ王国,イーストブルー,グランドライン,1,"サンジはバラティエでゼフに育てられました。",2
ナミが測量士を目指すきっかけとなった出来事は何ですか？,アーロンパーク事件,グランドライン突入,仲間との出会い,世界地図の発見,1,"ナミはアーロンパーク事件を通じて、世界地図を描くことを決意しました。",2
ウソップが勇敢な海の戦士を目指すきっかけは何ですか？,父との再会,ルフィとの出会い,カヤとの約束,冒険への憧れ,1,"ウソップはカヤとの約束を果たすため、勇敢な海の戦士を目指しています。",2
チョッパーが医者を目指すきっかけは何ですか？,Dr.ヒルルクの死,Dr.くれはとの出会い,ルフィとの出会い,病気の治療,1,"チョッパーはDr.ヒルルクの死をきっかけに医者を志しました。",2
ロビンが考古学者になったきっかけは何ですか？,オハラでの出来事,ポーネグリフの発見,世界政府への反抗,仲間との出会い,1,"ロビンはオハラの悲劇からポーネグリフの解読を目指しています。",2
フランキーが船大工になったきっかけは何ですか？,トムさんとの出会い,サウザンドサニー号の建造,海賊への憧れ,自身の改造,1,"フランキーはトムさんとの出会いを通じて船大工になりました。",2
ブルックが音楽家になったきっかけは何ですか？,ルンバー海賊団との出会い,ヨミヨミの実の能力,仲間との約束,自身の魂,1,"ブルックはルンバー海賊団の音楽家でした。",2
ジンベエが魚人空手を習得したきっかけは何ですか？,タイヨウの海賊団の活動,フィッシャー・タイガーとの出会い,魚人島の歴史,自身の正義,1,"ジンベエは魚人空手の達人です。",2
ルフィの最初の懸賞金はいくらでしたか？,3000万ベリー,1億ベリー,5000万ベリー,1億5000万ベリー,1,"ルフィの最初の懸賞金は3000万ベリーでした。",1
ルフィの懸賞金が初めて1億ベリーになったのはいつですか？,アラバスタ編後,スカイピア編後,エニエス・ロビー編後,インペルダウン脱獄後,1,"ルフィの懸賞金が初めて1億ベリーになったのはアラバスタ編後です。",2
ルフィの懸賞金が初めて3億ベリーになったのはいつですか？,エニエス・ロビー編後,アラバスタ編後,スカイピア編後,インペルダウン脱獄後,1,"ルフィの懸賞金が初めて3億ベリーになったのはエニエス・ロビー編後です。",2
ルフィの懸賞金が初めて4億ベリーになったのはいつですか？,頂上戦争後,エニエス・ロビー編後,アラバスタ編後,スカイピア編後,1,"ルフィの懸賞金が初めて4億ベリーになったのは頂上戦争後です。",3
ルフィの懸賞金が初めて5億ベリーになったのはいつですか？,ドレスローザ編後,頂上戦争後,エニエス・ロビー編後,アラバスタ編後,1,"ルフィの懸賞金が初めて5億ベリーになったのはドレスローザ編後です。",3
ルフィの懸賞金が初めて15億ベリーになったのはいつですか？,ホールケーキアイランド編後,ドレスローザ編後,頂上戦争後,ワノ国編後,1,"ルフィの懸賞金が初めて15億ベリーになったのはホールケーキアイランド編後です。",3
ルフィの現在の懸賞金はいくらですか？,30億ベリー,15億ベリー,5億ベリー,10億ベリー,1,"ルフィの現在の懸賞金は30億ベリーです。",4
ゾロの最初の懸賞金はいくらでしたか？,6000万ベリー,3000万ベリー,1億ベリー,5000万ベリー,1,"ゾロの最初の懸賞金は6000万ベリーでした。",2
ゾロの懸賞金が初めて1億ベリーになったのはいつですか？,エニエス・ロビー編後,アラバスタ編後,スカイピア編後,頂上戦争後,1,"ゾロの懸賞金が初めて1億ベリーになったのはエニエス・ロビー編後です。",3
ゾロの懸賞金が初めて3億2000万ベリーになったのはいつですか？,ドレスローザ編後,エニエス・ロビー編後,アラバスタ編後,スカイピア編後,1,"ゾロの懸賞金が初めて3億2000万ベリーになったのはドレスローザ編後です。",3
ゾロの現在の懸賞金はいくらですか？,11億1100万ベリー,15億ベリー,30億ベリー,10億ベリー,1,"ゾロの現在の懸賞金は11億1100万ベリーです。",4
サンジの最初の懸賞金はいくらでしたか？,7700万ベリー,3000万ベリー,1億ベリー,5000万ベリー,1,"サンジの最初の懸賞金は7700万ベリーでした。",2
サンジの懸賞金が初めて1億ベリーになったのはいつですか？,エニエス・ロビー編後,アラバスタ編後,スカイピア編後,頂上戦争後,1,"サンジの懸賞金が初めて1億ベリーになったのはエニエス・ロビー編後です。",3
サンジの懸賞金が初めて1億7700万ベリーになったのはいつですか？,ドレスローザ編後,エニエス・ロビー編後,アラバスタ編後,スカイピア編後,1,"サンジの懸賞金が初めて1億7700万ベリーになったのはドレスローザ編後です。",3
サンジの懸賞金が初めて3億3000万ベリーになったのはいつですか？,ホールケーキアイランド編後,ドレスローザ編後,頂上戦争後,ワノ国編後,1,"サンジの懸賞金が初めて3億3000万ベリーになったのはホールケーキアイランド編後です。",3
